date,meantemp,humidity,wind_speed,meanpressure,Daylight
1/1/2013,10,84.5,0,1015.666667,10.35
1/2/2013,7.4,92,2.98,1017.8,10.37
1/3/2013,7.166666667,87,4.633333333,1018.666667,10.37
1/4/2013,8.666666667,71.33333333,1.233333333,1017.166667,10.38
1/5/2013,6,86.83333333,3.7,1016.5,10.38
1/6/2013,7,82.8,1.48,1018,10.4
1/7/2013,7,78.6,6.3,1020,10.42
1/8/2013,8.857142857,63.71428571,7.142857143,1018.714286,10.42
1/9/2013,14,51.25,12.5,1017,10.43
1/10/2013,11,62,7.4,1015.666667,10.45
1/11/2013,15.71428571,51.28571429,10.57142857,1016.142857,10.45
1/12/2013,14,74,13.22857143,1015.571429,10.47
1/13/2013,15.83333333,75.16666667,4.633333333,1013.333333,10.48
1/14/2013,12.83333333,88.16666667,0.616666667,1015.166667,10.5
1/15/2013,14.71428571,71.85714286,0.528571429,1015.857143,10.52
1/16/2013,13.83333333,86.66666667,0,1016.666667,10.53
1/17/2013,16.5,80.83333333,5.25,1015.833333,10.55
1/18/2013,13.83333333,92.16666667,8.95,1014.5,10.57
1/19/2013,12.5,76.66666667,5.883333333,1021.666667,10.58
1/20/2013,11.28571429,75.28571429,8.471428571,1020.285714,10.6
1/21/2013,11.2,77,2.22,1021,10.62
1/22/2013,9.5,79.66666667,3.083333333,1021.8,10.63
1/23/2013,14,60.16666667,4.016666667,1020.5,10.65
1/24/2013,13.83333333,60.66666667,6.166666667,1020.5,10.68
1/25/2013,12.25,67,5.55,1020.75,10.7
1/26/2013,12.66666667,64.16666667,6.8,1019.666667,10.72
1/27/2013,12.85714286,65.57142857,5.557142857,1018.142857,10.73
1/28/2013,14.83333333,56,3.7,1017.833333,10.75
1/29/2013,14.125,65.5,3.2375,1016.625,10.78
1/30/2013,14.71428571,70.42857143,1.057142857,1017.857143,10.8
1/31/2013,16.2,65.6,2.96,1018.4,10.82
2/1/2013,16,73,2.22,1016,10.85
2/2/2013,16.28571429,77.57142857,1.328571429,1017.142857,10.87
2/3/2013,18,65.57142857,1.857142857,1015.285714,10.88
2/4/2013,17.42857143,74.28571429,11.11428571,1014.571429,10.92
2/5/2013,16.625,92.375,9.725,1016.375,10.93
2/6/2013,16.66666667,71.33333333,8.633333333,1018.666667,10.97
2/7/2013,15.6,59.4,10.74,1018.6,10.98
2/8/2013,14,70.42857143,9.257142857,1017.142857,11.02
2/9/2013,15.42857143,61.28571429,9.257142857,1016.857143,11.03
2/10/2013,15.25,71.5,3.475,1017.125,11.07
2/11/2013,15.875,70.5,5.325,1016.5,11.08
2/12/2013,15.33333333,70.33333333,7.416666667,1017.5,11.12
2/13/2013,16.28571429,70.14285714,6.085714286,1016,11.13
2/14/2013,17.33333333,63.83333333,4.333333333,1014.166667,11.17
2/15/2013,19.16666667,65.33333333,10.18333333,1011.666667,11.18
2/16/2013,14.42857143,92.71428571,8.485714286,1008,11.22
2/17/2013,13.66666667,90,0,1012.666667,11.25
2/18/2013,15.6,78.4,12.22,1016.2,11.27
2/19/2013,15.85714286,82,5.814285714,1015.714286,11.3
2/20/2013,17.71428571,74.71428571,5.814285714,1017,11.32
2/21/2013,20,67.28571429,6.614285714,1015.428571,11.35
2/22/2013,20.5,65.625,10.875,1016,11.38
2/23/2013,17.42857143,74.85714286,9.257142857,1017,11.4
2/24/2013,16.85714286,78.85714286,7.4,1018.857143,11.43
2/25/2013,16.875,72.875,4.6375,1018.25,11.47
2/26/2013,17.85714286,70,17.5875,1015.142857,11.48
2/27/2013,20.8,57.2,6.66,1015.2,11.52
2/28/2013,19.42857143,52.85714286,12.95714286,1017.428571,11.55
3/1/2013,17.33333333,49.33333333,24.06666667,1016.333333,11.57
3/2/2013,19,54,15.725,1016.25,11.6
3/3/2013,19.33333333,62.83333333,8.633333333,1016.166667,11.63
3/4/2013,17.6,71,5.56,1015.8,11.65
3/5/2013,20.875,61.875,4.1625,1016.375,11.68
3/6/2013,20.85714286,65.28571429,6.871428571,1015.714286,11.72
3/7/2013,23.42857143,57.14285714,8.728571429,1015.285714,11.73
3/8/2013,24.16666667,44.83333333,7.1,1014.833333,11.77
3/9/2013,25.42857143,49.71428571,5.285714286,1009.285714,11.8
3/10/2013,23.14285714,57.57142857,4.228571429,1008,11.83
3/11/2013,24,66.33333333,0.933333333,1011.166667,11.85
3/12/2013,23.5,62.5,4.933333333,1011.5,11.88
3/13/2013,21.5,70.5,5.55,1009,11.92
3/14/2013,22.33333333,61.16666667,12.03333333,1013.166667,11.93
3/15/2013,24.16666667,45.83333333,7.716666667,1016.166667,11.97
3/16/2013,20.33333333,67.66666667,3.7,1016.166667,12
3/17/2013,22.66666667,58.66666667,8.95,1015,12.03
3/18/2013,23.42857143,58.14285714,17.45714286,1009.428571,12.05
3/19/2013,22.5,73.66666667,10.48333333,1011,12.08
3/20/2013,29.16666667,36.33333333,6.8,1009.5,12.12
3/21/2013,23.83333333,58.5,10.5,1008.333333,12.13
3/22/2013,25.25,50.25,9.7125,1006.375,12.17
3/23/2013,27.375,50.125,9.95,1007.625,12.2
3/24/2013,27,48.75,10.8875,1010.25,12.23
3/25/2013,23.5,45.5,15.9625,1010.625,12.25
3/26/2013,24.14285714,44.57142857,12.95714286,1008.857143,12.28
3/27/2013,21,62,1.85,1009,12.32
3/28/2013,22.42857143,62.71428571,7.414285714,1009.571429,12.33
3/29/2013,21.25,70.375,5.55,1009.75,12.37
3/30/2013,23.5,54.75,11.1125,1008.625,12.4
3/31/2013,23.2,58,6.66,1008.6,12.43
4/1/2013,25.375,45.5,4.4,1008.5,12.45
4/2/2013,25.16666667,51,8.65,1009.5,12.48
4/3/2013,26.2,45.6,8.14,1009,12.52
4/4/2013,24.6,41.8,11.12,1007.8,12.53
4/5/2013,25.6,31,15.56,1007,12.57
4/6/2013,25.85714286,29.85714286,11.9,1006.142857,12.6
4/7/2013,29.14285714,23.28571429,10.31428571,1005,12.62
4/8/2013,28.71428571,33.85714286,5.3,1006,12.65
4/9/2013,30.16666667,30.5,8.65,1005.333333,12.68
4/10/2013,30,28,6.1,1006.714286,12.7
4/11/2013,30,24.2,7.78,1006.4,12.73
4/12/2013,28.85714286,32.57142857,6.342857143,1007.571429,12.77
4/13/2013,30.2,29.2,10,1008.4,12.78
4/14/2013,28.25,39.375,6.4875,1007,12.82
4/15/2013,28.25,41.375,6.25,1003.875,12.85
4/16/2013,32.125,24.625,10.425,1000,12.87
4/17/2013,29.2,24.2,6.66,1002.2,12.9
4/18/2013,30.28571429,30.28571429,4.757142857,1002.857143,12.92
4/19/2013,28.28571429,31.28571429,3.971428571,1002.571429,12.95
4/20/2013,30.625,29,7.6375,1003.375,12.98
4/21/2013,27.66666667,38.66666667,13.88333333,1006.833333,13
4/22/2013,27.375,45.375,7.65,1010,13.03
4/23/2013,28.625,44.125,4.625,1009.875,13.05
4/24/2013,30.28571429,41.71428571,2.114285714,1008.571429,13.08
4/25/2013,31.14285714,38.28571429,3.7,1007.714286,13.1
4/26/2013,29.875,45.875,6.7125,1008.375,13.13
4/27/2013,31.14285714,31.42857143,13.48571429,1007,13.15
4/28/2013,30.57142857,28,12.97142857,1005.428571,13.18
4/29/2013,32.125,26.375,7.875,1004.875,13.2
4/30/2013,31.14285714,32,7.928571429,1004.857143,13.23
5/1/2013,31.85714286,15.85714286,12.68571429,1002.833333,13.25
5/2/2013,29.83333333,22.16666667,11.43333333,1001.2,13.28
